0	390872.663	392887.379

1	390872.663	392887.379

15	390872.292	392875.208

25	390877.003	392873.341

27	390880.364	392878.196

32	390886.111	392864.602

34	390885	392880

36	390890.1695	392868.642

37	390891.919	392859.065

47	390893	392874

59	390901.469	392850.053

66	390907.23	392855.97

70	390881	392884

73	390907	392860

74	390907.23	392855.97

83	390896	392870

101	390911.997	392841.898

114	390918.004	392835.491

127	390920.876	392838.518

145	390932.015	392850.135

155	390923.521	392850.328

166	390943.336	392861.907

169	390871.1	392832.049

171	390931.986	392859.25

178	390910	392863

188	390923.046	392867.911

196	390941.568	392869.643

208	390917	392871

225	390927	392880

226	390946.519	392875.104

241	390936.301	392884.111

247	390907.213	392812.685

248	390931	392884

249	390936.301	392884.111

261	390938.914	392841.633

263	390909.871	392809.604

264	390921	392875

276	390935	392836

280	390913.173	392805.861

283	390949.636	392853.999

289	390931	392831

310	390918.529	392799.613

314	390943	392844

320	390946	392848

325	390925.511	392791.533

327	390952	392853

332	390929.7419	392786.3729

336	390924.531	392804.433

337	390935	392800

342	390923	392816

349	390929	392807

373	390908.689	392801.043

379	390907.282	392801.155

387	390918	392819

388	390926	392812

391	390913.3067	392795.2978

406	390937	392798

453	390959.827	392800.103

458	390894	392797

475	390970.015	392809.073

484	390963.033	392816.614

502	390964	392822

505	390916.237	392776.136

507	390891.336	392807.872

508	390982.421	392819.26

522	390908	392779

530	390905.076	392789.479

539	390904	392784

544	390975.138	392827.039

556	390897	392791

559	390993.403	392826.054

562	390976	392832

563	390958	392817

578	390914.701	392774.115

587	390999.985	392829.212

594	390917.646	392770.357

596	391000.5776	392829.4599

604	391009.465	392833.089

608	390996.172	392840.26

611	390969	392827

614	390909	392760

615	390923.419	392763.338

619	390996	392843

629	390954	392812

639	391002	392847

651	390986.866	392837.895

666	390925.444	392762.018

676	390990	392841

682	390981	392837

686	390932.739	392768.301

688	390913	392755

690	390938.131	392762.197

691	390940.702	392775.184

697	390942.352	392776.625

701	390943	392758

702	390949	392763

707	390948.941	392782.353

718	390960.503	392792.29

739	390967.79	392783.707

745	390973.519	392803.236

755	390965	392778

763	390980.72	392795.089

778	390940	392756

780	390978	392789

785	390906	392764

786	390926.112	392747.463

794	390988.243	392815.901

802	390990.626	392817.377

813	390973	392785

817	390917	392751

835	390986	392795

839	391002.28	392823.399

854	390928.184	392747.849

860	390931	392748

861	390935	392751

868	391006.471	392814.211

884	390994.075	392807.334

886	391005	392808

891	390956.756	392773.691

896	390960	392774

898	390991	392798

899	391014	392812

900	390952	392766

906	391001	392805

